Division,Placement,Skipper,Team,Total Score
B,1,Whitney Kent '15,University of Wisconsin,13
B,2,Andrea Sullivan '18,University of Wisconsin,13
B,3,Megan McMahon '17,University of Wisconsin,25
B,4,Medina Krevans '16,Northwestern University,30
B,5,Alexandra Anderson '19,University of Michigan,32
B,6,Cailin Oakes '18,University of Minnesota,48
B,7,Caitlin Chenus '19,University of Iowa,60
B,8,Brittany Mosgo '17,Ohio State University,64
