Division,Placement,Skipper,Team,Total Score
B,1,Bryce Kopp '16,Connecticut College,23
B,2,Megan Yeigh '16,University of Vermont,63
B,3,Scott Booth '16,Roger Williams University,63
B,4,Jackson Hamilton '19,Northeastern University,71
B,5,Samuel Campbell '17,Boston University,73
B,6,Dakota Northrup '19,University of Rhode Island,73
B,7,August Sturm '19,U. S. Coast Guard Academy,78
B,8,Kate Shaner '16,Tufts University,85
B,9,Zachary Hall '18,Massachusetts Institute of Technology,97
B,10,Sam Shannon '19,Salve Regina University,106
B,11,Louis Frumer '18,Bowdoin College,123
B,12,Ryan Gershuny '18,University of New Hampshire,145
B,13,George Luber '17,Massachusetts Maritime Academy,150
B,14,Jade Forsberg '17,Middlebury College,152
B,15,H̩l̬ne Osterman '17,McGill University,165
B,16,Amy Macdonald '18,Bates College,168
B,17,Martin Hooker '18,University of Connecticut,213
