Division,Placement,Skipper,Team,Total Score
A,1,John Rolander '17,Tufts University,26
A,2,Kurran Singh '19,Northeastern University,31
A,3,Jeffrey Adam '18,Massachusetts Maritime Academy,39
A,4,Kelsey Delosh '17,University of Massachusetts at Dartmouth,49
A,5,Joseph Benoit '16,Boston University,51
A,6,H̩l̬ne Osterman '17,McGill University,58
A,7,George Luber '17,Massachusetts Maritime Academy,60
A,8,Brendan Sleight '17,University of New Hampshire,73
A,9,Christine Reighley '15,Bentley University,74
A,10,Ryan Lovering '18,Maine Maritime Academy,92
