Division,Placement,Skipper,Team,Total Score
A,1,Monarchs 1,Old Dominion University,119
A,2,Pirates,Hampton University,137
A,3,Monarchs 2,Old Dominion University,146
A,4,Captains 1,Christopher Newport University,266
A,5,Captains 2,Christopher Newport University,336
A,6,Wahoos,University of Virginia,340
A,7,Tribe,William and Mary,366
A,8,Johnnies,St. John's College,473
