Division,Placement,Skipper,Team,Total Score
A,1,Ryan Davidson '16,College of Charleston,5
A,2,John Reddaway '15,Georgia Institute of Technology,7
A,3,Cassie Todd '16,University of North Carolina at Wilmington,17
A,4,Ben Brightwell '13,The Citadel,20
A,5,Edward Miller '13 *,Vanderbilt University,21
A,6,John Lindahl '15,University of Tennessee,22
A,7,John MacAdam '15,North Carolina State University,29
A,8,Andrew Corriveau '15,Clemson University,31
A,9,Lauren McLean '13,University of Georgia,31
A,10,Marc Simons '13,University of Tennessee-Chattanooga,37
