Division,Placement,Skipper,Team,Total Score
B,1,Chris Pomerleau '16,Penn State University,23
B,2,Liam Boyle '16,Ocean County College,23
B,3,Sarah Celone '13,Villanova University,24
B,4,Jakub Tyczynski '15,Drexel University,26
B,5,Matthias Chia '15,University of Pennsylvania,27
B,6,Nicholas Cavaliere '15,University of Delaware,45
