Division,Placement,Skipper,Team,Total Score
B,1,Tanya Cuprak '11,U. S. Coast Guard Academy,44
B,2,Rebecca Jackson '10 *,Yale University,58
B,3,none,Boston College,70
B,4,Ren̩e Gagn̩ '12,Tufts University,83
B,5,Mackenzie Spencer '12,University of Vermont,84
B,6,Matt Johnson '12,Boston University,88
B,7,John Joseph '12,Maine Maritime Academy,90
B,8,Nikolas Osvalds '11,Brown University,96
B,9,Mike Bloomstine '13,Providence College,112
B,10,Sean Andrew '11,University of Connecticut,131
B,11,Natalie Salk '13,Tufts University,132
B,12,Robert Keller '11,Salve Regina University,146
B,13,Marshall McLean '11,Northeastern University,171
B,14,Christopher Calahan '12,Bates College,185
B,15,Patrick Morrissey '12,Massachusetts Maritime Academy,190
