Division,Placement,Skipper,Team,Total Score
A,1,Hannah Darrin '11,University of Washington,14
A,2,Lisa Hodges '11,Lewis and Clark College,33
A,3,Erika Vranizan '12,Western Washington University,36
A,4,Leila Whitney '13,Portland State University,40
A,5,Alison Ross '12,University of Puget Sound,63
A,6,Marissa Paulling '11,University of Oregon,74
