Division,Placement,Skipper,Team,Total Score
B,1,Marlena Fauer '14,Yale University,32
B,2,Jennifer Adler '11,Brown University,41
B,3,Liv Gunnarsson '12,University of Rhode Island,53
B,4,Lauren Burke '12,Georgetown University,54
B,5,Corey Hall '12,College of Charleston,57
B,6,Emily Billing '13,Yale University,58
B,7,Jennifer Proctor '11,U. S. Coast Guard Academy,63
B,8,Stephanie Hudson '13,Boston College,65
B,9,Atlantic Brugman '13,Connecticut College,66
B,10,Mayumi Roller '13,St. Mary's College of Maryland,72
B,11,Kelsey Wheeler '14,Dartmouth College,79
B,12,Killian Corbishley '14,U. S. Naval Academy,86
B,13,Laura Cuccio '14,University of Vermont,88
B,14,Corina Radtke '14,Old Dominion University,101
B,15,Ren̩e Gagn̩ '12,Tufts University,101
B,16,Kaye Siemers '13,Eckerd College,112
B,17,Caitlin Watson '14,Harvard University,132
B,18,Erica Lush '14,Boston University,133
