Division,Placement,Skipper,Team,Total Score
B,1,Meghan Pesch '11,Tufts University,27
B,2,Andrew Tamblyn '13,Roger Williams University,35
B,3,Christopher Remeika '12,Boston College,36
B,4,Martin McDonald '12,Dartmouth College,47
B,5,John Duncan '13,University of Vermont,51
B,6,Alejandro Bancalari '13,Boston University,51
B,7,Sarah Fiske '13,Bowdoin College,70
B,8,Terry Clarke '13,University of New Hampshire,93
B,9,Alexander Francis '14,Bates College,94
B,10,Melinda Moynihan '12,McGill University,109
B,11,Alan Sanders '14,Middlebury College,118
