Division,Placement,Skipper,Team,Total Score
B,1,Emilie Mademann '12,Eckerd College,15
B,2,Grace Lucas '14,College of Charleston,20
B,3,none,University of South Florida,25
B,4,Nicole Popp '12,University of Miami,33
B,5,Catie Skipp '13,University of Florida,42
B,6,Renae Levor '12,Florida Gulf Coast University,55
